index,Name,Ukrainian,Russian
155,SLOVIANSKYI,83.19,15.55
603,SMILA,89.1,10.13
617,SMILIANSKYI,96.97,2.67
245,SNIATYNSKYI,99.47,0.4
391,SNIHURIVSKYI,90.96,7.74
137,snizhnenska,15.25,83.61
109,sofi‹vskyi,94.59,4.31
363,SOKALSKYI,99.03,0.79
660,SOKYRIANSKYI,90.42,6.4
672,SOLOMIANSKYI,67.51,30.47
108,SOLONIANSKYI,92.66,6.37
706,SONIACHNYI,21.20,76.77
645,SOSNYTSKYI,98.4,1.44
24,SOVIETSKYI,10.38,64.37
646,SRIBNIANSKYI,98.32,1.54
322,stakhanivska,14.38,83.8
338,STANYCHNO-LUHANSKYI,14.17,85.06
156,STAROBESHIVSKYI,17.06,81.78
339,STAROBILSKYI,79.17,20.48
578,STAROKOSTIANTYNIV,92.01,7.46
592,STAROKOSTIANTYNIVSKYI,98.6,1.12
364,STAROSAMBIRSKYI,98.76,0.38
593,STAROSYNIAVSKYI,98.66,0.79
76,STAROVYZHIVSKYI,99.49,0.39
279,STAVYSHCHENSKYI,98.31,1.39
661,STOROZHYNETSKYI,61.42,1.81
345,stryiska,92.98,5.06
365,STRYISKYI,99.27,0.62
10,sudatska,8.42,71.45
496,SUMSKYI,93.82,5.49
475,sumska,77.44,20.21
200,SVALIAVSKYI,97.28,1.58
335,SVATIVSKYI,91.84,7.55
320,sverdlovska,14.22,83.53
336,SVERDLOVSKYI,56.01,41.29
671,SVIATOSHYNSKYI,77.16,21.51
287,SVITLOVODSK,79.49,20.03
306,SVITLOVODSKYI,85.92,12.93
107,SYNELNYKIVSKYI,89.95,8.78
90,synelnykivska,77.95,20.23
647,talala‹vskyi,97.95,1.89
618,TALNIVSKYI,97.66,1.77
280,TARASHCHANSKYI,97.94,1.68
421,TARUTYNSKYI,18.79,32.93
422,TATARBUNARSKYI,72.4,7.68
157,TELMANIVSKYI,39.87,57.17
594,TEOFIPOLSKYI,98.88,0.77
397,TEPLODAR,55.8,42.43
49,TEPLYTSKYI,98.81,0.87
514,TEREBOVLIANSKYI,99.4,0.5
91,TERNIVKA,21.2,78.02
702,TERNIVKA,13.39,73.62
701,TERNIVSKA,13.94,68.91
500,ternopilska,94.8,3.37
515,TERNOPILSKYI,99.53,0.36
281,tetiïvskyi,98.24,1.52
201,TIACHIVSKYI,83.52,1.06
246,TLUMATSKYI,99.67,0.26
207,tokmatska,70.25,29.35
227,TOKMATSKYI,79.93,19.47
110,TOMAKIVSKYI,92.77,6.6
50,TOMASHPILSKYI,96.57,2.88
138,torezka,15.68,83.38
340,tro‹tskyi,62.76,36.89
51,TROSTIANETSKYI,98.1,1.67
497,TROSTIANETSKYI,86.11,13.27
346,TRUSKAVETS,94.22,4.99
111,TSARYCHANSKYI,95.44,3.93
571,TSIURUPYNSKYI,82.12,16.74
52,TULCHYNSKYI,96.87,2.76
77,TURIISKYI,99.08,0.8
366,TURKIVSKYI,99.82,0.14
699,TYLOVE,9.97,81.44
247,TYSMENYTSKYI,99.51,0.37
53,TYVRIVSKYI,96.44,3.05
307,ULIANOVSKYI,97.06,1.72
604,umanska,93.27,6.38
619,UMANSKYI,97.34,2.18
308,USTYNIVSKYI,95.61,2.32
187,uzhhorodska,77.55,12.4
202,UZHHORODSKYI,58.89,2.47
530,VALKIVSKYI,94.23,5.23
631,VARVYNSKYI,96.98,2.71
211,VASYLIVSKYI,70.78,28.41
252,VASYLKIV,87.29,12.19
93,VASYLKIVSKYI,94.53,4.63
265,VASYLKIVSKYI,95.35,4.15
600,VATUTINE,91.87,7.79
430,VELYKOBAHACHANSKYI,96.74,2.77
192,VELYKOBEREZNIANSKYI,98.98,0.63
212,VELYKOBILOZERSKYI,93.72,5.81
531,VELYKOBURLUTSKYI,71.82,27.32
558,VELYKOLEPETYSKYI,90.66,8.5
406,VELYKOMYKHAILIVSKYI,80.36,15.36
145,VELYKONOVOSILKIVSKYI,50.26,47.43
557,VELYKOOLEKSANDRIVSKYI,94.53,4.32
485,VELYKOPYSARIVSKYI,72.63,26.98
94,VERKHNODNIPROVSKYI,89.98,9.2
559,VERKHNOROHACHYTSKYI,93.4,5.66
