Name ,Ukrainian,Russian
OLEKSANDRIIA (miskrada),2251.0,3675
SVITLOVODSK (miskrada),1004.0,3918
BOBRYNETSKYI RAION,547.0,128
VILSHANSKYI RAION,1496.0,77
HAIVORONSKYI RAION,486.0,260
HOLOVANIVSKYI RAION,346.0,245
DOBROVELYCHKIVSKYI RAION,837.0,274
DOLYNSKYI RAION,835.0,349
ZNAMIANSKYI RAION,436.0,346
KIROVOHRADSKYI RAION,743.0,684
KOMPANIIVSKYI RAION,276.0,82
MALOVYSKIVSKYI RAION,700.0,1937
NOVHORODKIVSKYI RAION,269.0,88
NOVOARKHANHELSKYI RAION,224.0,109
NOVOMYRHORODSKYI RAION,627.0,138
NOVOUKRAINSKYI RAION,783.0,259
OLEKSANDRIVSKYI RAION,236.0,143
OLEKSANDRIISKYI RAION,717.0,339
ONUFRIIVSKYI RAION,347.0,234
PETRIVSKYI RAION,590.0,335
SVITLOVODSKYI RAION,273.0,255
ULIANOVSKYI RAION,277.0,110
USTYNIVSKYI RAION,352.0,71
LUHANSK (miskrada),2836.0,190974
ANTRATSYT (miskrada),325.0,34448
BRIANKA (miskrada),197.0,26581
KIROVSK (miskrada),221.0,17648
KRASNYI LUCH (miskrada),478.0,50342
KRASNODON (miskrada),258.0,32930
LYSYCHANSK (miskrada),1580.0,44700
PERVOMAISK (miskrada),827.0,24724
ROVENKY (miskrada),541.0,41277
SVERDLOVSK (miskrada),475.0,38864
SIEVERODONETSK (miskrada),987.0,42673
STAKHANOV (miskrada),605.0,37289
m. ALCHEVSK,601.0,46642
m. RUBIZHNE,425.0,19198
ANTRATSYTIVSKYI RAION,338.0,6805
BILOVODSKYI RAION,418.0,1545
BILOKURAKYNSKYI RAION,484.0,388
KRASNODONSKYI RAION,382.0,7109
KREMINSKYI RAION,790.0,4424
LUTUHYNSKYI RAION,969.0,17980
MILOVSKYI RAION,313.0,1061
MARKIVSKYI RAION,356.0,280
NOVOAIDARSKYI RAION,282.0,3357
NOVOPSKOVSKYI RAION,624.0,763
PEREVALSKYI RAION,501.0,31457
POPASNIANSKYI RAION,726.0,9746
SVATIVSKYI RAION,694.0,648
SVERDLOVSKYI RAION,179.0,2330
SLOVIANOSERBSKYI RAION,744.0,17751
STANYCHNO-LUHANSKYI RAION,252.0,12925
STAROBILSKYI RAION,906.0,6204
TROITSKYI RAION,481.0,1936
LVIV (miskrada),12044.0,13880
BORYSLAV (miskrada),636.0,91
DROHOBYCH (miskrada),1195.0,429
CHERVONOHRAD (miskrada),1213.0,627
m. SAMBIR,634.0,105
m. STRYI,738.0,356
m. TRUSKAVETS,286.0,158
BRODIVSKYI RAION,433.0,138
BUSKYI RAION,145.0,35
HORODOTSKYI RAION,410.0,57
DROHOBYTSKYI RAION,327.0,14
ZHYDACHIVSKYI RAION,347.0,46
ZHOVKIVSKYI RAION,383.0,111
ZOLOCHIVSKYI RAION,606.0,124
KAMIANKA-BUZKYI RAION,263.0,90
MYKOLAIVSKYI RAION,483.0,158
MOSTYSKYI RAION,908.0,35
PEREMYSHLIANSKYI RAION,149.0,14
PUSTOMYTIVSKYI RAION,638.0,96
RADEKHIVSKYI RAION,109.0,23
SAMBIRSKYI RAION,452.0,83
SKOLIVSKYI RAION,100.0,32
SOKALSKYI RAION,560.0,72
STAROSAMBIRSKYI RAION,444.0,30
STRYISKYI RAION,166.0,40
TURKIVSKYI RAION,74.0,12
YAVORIVSKYI RAION,424.0,170
m. MYKOLAIV,5507.0,175471
m. VOZNESENSK,1032.0,1733
m. OCHAKIV,333.0,1953
m. PERVOMAISK,1395.0,4218
m. YUZHNOUKRAINSK,656.0,4280
ARBUZYNSKYI RAION,474.0,646
BASHTANSKYI RAION,812.0,795
BEREZANSKYI RAION,661.0,843
BEREZNEHUVATSKYI RAION,532.0,413
BRATSKYI RAION,573.0,512
