,,,,
Name,Ukrainian,Russian,,1
BILOVODSKYI RAION,418,1545,,
BILOKURAKYNSKYI RAION,484,388,,
KRASNODONSKYI RAION,382,7109,,
KREMINSKYI RAION,790,4424,,
LUTUHYNSKYI RAION,969,17980,,
MILOVSKYI RAION,313,1061,,
MARKIVSKYI RAION,356,280,,
NOVOAIDARSKYI RAION,282,3357,,
NOVOPSKOVSKYI RAION,624,763,,
PEREVALSKYI RAION,501,31457,,
POPASNIANSKYI RAION,726,9746,,
SVATIVSKYI RAION,694,648,,
SVERDLOVSKYI RAION,179,2330,,
SLOVIANOSERBSKYI RAION,744,17751,,
STANYCHNO-LUHANSKYI RAION,252,12925,,
STAROBILSKYI RAION,906,6204,,
TROITSKYI RAION,481,1936,,
CHERKASY (miskrada),4182,19255,,
VATUTINE (miskrada),207,250,,
ZOLOTONOSHA (miskrada),508,350,,
SMILA (miskrada),976,1665,,
m. KANIV,379,719,,
m. UMAN,1288,1123,,
HORODYSHCHENSKYI RAION,308,139,,
DRABIVSKYI RAION,264,108,,
ZHASHKIVSKYI RAION,303,109,,
ZVENYHORODSKYI RAION,435,164,,
ZOLOTONISKYI RAION,353,235,,
KAMIANSKYI RAION,371,189,,
KANIVSKYI RAION,199,131,,
KATERYNOPILSKYI RAION,183,82,,
KORSUN-SHEVCHENKIVSKYI RAION,447,215,,
LYSIANSKYI RAION,166,65,,
MANKIVSKYI RAION,225,91,,
MONASTYRYSHCHENSKYI RAION,115,53,,
SMILIANSKYI RAION,291,147,,
TALNIVSKYI RAION,329,127,,
UMANSKYI RAION,358,249,,
KHRYSTYNIVSKYI RAION,326,158,,
CHERKASKYI RAION,613,392,,
CHYHYRYNSKYI RAION,311,234,,
CHORNOBAIVSKYI RAION,334,192,,
SHPOLIANSKYI RAION,444,160,,
m. KHARKIV,14568,471179,,
m. IZIUM,824,6528,,
KUPIANSK (miskrada),959,6679,,
LOZOVA (miskrada),1497,3300,,
LIUBOTYN (miskrada),280,1341,,
PERVOMAISKYI (miskrada),494,5338,,
CHUHUIV (miskrada),369,10302,,
BALAKLIISKYI RAION,1414,8969,,
BARVINKIVSKYI RAION,535,625,,
BLYZNIUKIVSKYI RAION,678,262,,
BOHODUKHIVSKYI RAION,778,541,,
BORIVSKYI RAION,443,303,,
VALKIVSKYI RAION,485,409,,
VELYKOBURLUTSKYI RAION,666,1209,,
VOVCHANSKYI RAION,1272,1395,,
DVORICHANSKYI RAION,581,580,,
DERHACHIVSKYI RAION,1771,4581,,
ZACHEPYLIVSKYI RAION,347,554,,
ZMIIVSKYI RAION,1226,6593,,
ZOLOCHIVSKYI RAION,859,452,,
