"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
101,240,"UKR","Ukraine",5,"Dnipropetrovs'k",101,"Petropavlivs'kyi","Raion","District",NA,"Petropavlivskyi"
102,240,"UKR","Ukraine",5,"Dnipropetrovs'k",102,"Petrykivs'kyi","Raion","District",NA,"Petrykivskyi"
103,240,"UKR","Ukraine",5,"Dnipropetrovs'k",103,"Piatykhats'kyi","Raion","District",NA,"Pyatyhatskyi"
104,240,"UKR","Ukraine",5,"Dnipropetrovs'k",104,"Pokrovs'kyi","Raion","District",NA,"Pokrovskyi"
105,240,"UKR","Ukraine",5,"Dnipropetrovs'k",105,"Shyrokivs'kyi","Raion","District",NA,"Shyrochanskyi"
106,240,"UKR","Ukraine",5,"Dnipropetrovs'k",106,"Sofi‹vs'kyi","Raion","District",NA,"Sofiivskyi"
107,240,"UKR","Ukraine",5,"Dnipropetrovs'k",107,"Solonians'kyi","Raion","District",NA,"Solonyanskyi"
108,240,"UKR","Ukraine",5,"Dnipropetrovs'k",108,"Synel'nykivs'ka","Misto","City",NA,NA
109,240,"UKR","Ukraine",5,"Dnipropetrovs'k",109,"Synel'nykivs'kyi","Raion","District",NA,"Synelnikivskyi"
110,240,"UKR","Ukraine",5,"Dnipropetrovs'k",110,"Tomakivs'kyi","Raion","District",NA,"Tomakivskyi"
111,240,"UKR","Ukraine",5,"Dnipropetrovs'k",111,"Tsarychans'kyi","Raion","District",NA,"Tsarychanskyi"
112,240,"UKR","Ukraine",5,"Dnipropetrovs'k",112,"Vasyl'kivs'kyi","Raion","District",NA,"Vasylkivskyi"
113,240,"UKR","Ukraine",5,"Dnipropetrovs'k",113,"Verkhn'odniprovs'kyi","Raion","District",NA,"Verhnyodniprovsky"
114,240,"UKR","Ukraine",5,"Dnipropetrovs'k",114,"Zhovtovods'ka","Mis'ka Rada","Mis'ka Rada",NA,"ZhovtiVody"
115,240,"UKR","Ukraine",6,"Donets'k",115,"Amvrosi‹vs'kyi","Raion","District",NA,"Amvrosiivskyi"
