 , .1,Whole population
 ,BERDIANSKYI RAION,31697.0
 ,VILNIANSKYI RAION,50689.0
 ,VASYLIVSKYI RAION,74864.0
 ,VELYKOBILOZERSKYI RAION,9363.0
 ,VESELIVSKYI RAION,25656.0
 ,HULIAIPILSKYI RAION,34290.0
 ,ZAPORIZKYI RAION,54804.0
 ,KAMIANSKO-DNIPROVSKYI RAION,45819.0
 ,KUIBYSHEVSKYI RAION,27600.0
 ,MELITOPOLSKYI RAION,56326.0
 ,MYKHAILIVSKYI RAION,33079.0
 ,NOVOMYKOLAIVSKYI RAION,19580.0
 ,ORIKHIVSKYI RAION,54462.0
 ,POLOHIVSKYI RAION,48043.0
 ,PRYAZOVSKYI RAION,32931.0
 ,PRYMORSKYI RAION,35284.0
 ,ROZIVSKYI RAION,11997.0
 ,TOKMATSKYI RAION,28486.0
 ,CHERNIHIVSKYI RAION,22201.0
 ,YAKYMIVSKYI RAION,38071.0
 ,IVANO-FRANKIVSK (miskrada),230443.0
 ,BOLEKHIV (miskrada),21232.0
 ,m. KALUSH,67887.0
 ,m. KOLOMYIA,61448.0
 ,YAREMCHE (miskrada),20821.0
 ,BOHORODCHANSKYI RAION,70212.0
 ,VERKHOVYNSKYI RAION,30079.0
 ,HALYTSKYI RAION,65640.0
 ,HORODENKIVSKYI RAION,60881.0
 ,DOLYNSKYI RAION,71059.0
 ,KALUSKYI RAION,62883.0
 ,KOLOMYISKYI RAION,105940.0
 ,KOSIVSKYI RAION,90167.0
 ,NADVIRNIANSKYI RAION,113508.0
 ,ROHATYNSKYI RAION,51125.0
 ,ROZHNIATIVSKYI RAION,75598.0
 ,SNIATYNSKYI RAION,68971.0
 ,TYSMENYTSKYI RAION,85400.0
 ,TLUMATSKYI RAION,52835.0
 ,m. BILA TSERKVA,196023.0
 ,m. BEREZAN,17516.0
 ,BORYSPIL (miskrada),53953.0
 ,m. BROVARY,86165.0
 ,m. VASYLKIV,39340.0
 ,IRPIN (miskrada),100390.0
 ,m. PEREIASLAV-KHMELNYTSKYI,31621.0
 ,m. RZHYSHCHIV,8436.0
 ,m. SLAVUTYCH,24549.0
 ,m. FASTIV,51552.0
 ,BARYSHIVSKYI RAION,41543.0
 ,BILOTSERKIVSKYI RAION,55608.0
 ,BOHUSLAVSKYI RAION,40575.0
 ,BORYSPILSKYI RAION,54670.0
 ,BORODIANSKYI RAION,57481.0
 ,BROVARSKYI RAION,77704.0
 ,VASYLKIVSKYI RAION,70467.0
 ,VOLODARSKYI RAION,23345.0
 ,VYSHHORODSKYI RAION,72589.0
 ,ZGHURIVSKYI RAION,22916.0
 ,IVANKIVSKYI RAION,35374.0
 ,KAHARLYTSKYI RAION,38246.0
 ,KYIEVO-SVIATOSHYNSKYI RAION,154354.0
 ,MAKARIVSKYI RAION,48438.0
 ,MYRONIVSKYI RAION,40803.0
 ,OBUKHIVSKYI RAION,71510.0
 ,PEREIASLAV-KHMELNYTSKYI RAION,36527.0
 ,POLISKYI RAION,7572.0
 ,ROKYTNIANSKYI RAION,36354.0
 ,SKVYRSKYI RAION,44320.0
 ,STAVYSHCHENSKYI RAION,28491.0
 ,TARASHCHANSKYI RAION,36423.0
 ,TETIIVSKYI RAION,37866.0
 ,FASTIVSKYI RAION,37545.0
 ,YAHOTYNSKYI RAION,40795.0
 ,KIROVOHRAD (miskrada),258543.0
 ,ZNAMIANKA (miskrada),35329.0
 ,OLEKSANDRIIA (miskrada),103856.0
 ,SVITLOVODSK (miskrada),57459.0
 ,BOBRYNETSKYI RAION,31531.0
 ,VILSHANSKYI RAION,16360.0
 ,HAIVORONSKYI RAION,43454.0
 ,HOLOVANIVSKYI RAION,36645.0
 ,DOBROVELYCHKIVSKYI RAION,42958.0
 ,DOLYNSKYI RAION,37962.0
 ,ZNAMIANSKYI RAION,30232.0
 ,KIROVOHRADSKYI RAION,37600.0
 ,KOMPANIIVSKYI RAION,18162.0
 ,MALOVYSKIVSKYI RAION,51164.0
 ,NOVHORODKIVSKYI RAION,18947.0
 ,NOVOARKHANHELSKYI RAION,31327.0
 ,NOVOMYRHORODSKYI RAION,35835.0
 ,NOVOUKRAINSKYI RAION,48486.0
 ,OLEKSANDRIVSKYI RAION,36009.0
 ,OLEKSANDRIISKYI RAION,41108.0
 ,ONUFRIIVSKYI RAION,21757.0
 ,PETRIVSKYI RAION,28954.0
 ,SVITLOVODSKYI RAION,16618.0
 ,ULIANOVSKYI RAION,28718.0
 ,USTYNIVSKYI RAION,16690.0
 ,LUHANSK (miskrada),499252.0
 ,ANTRATSYT (miskrada),90416.0
 ,BRIANKA (miskrada),61449.0
 ,KIROVSK (miskrada),44948.0
 ,KRASNYI LUCH (miskrada),145199.0
 ,KRASNODON (miskrada),117730.0
 ,LYSYCHANSK (miskrada),133140.0
 ,PERVOMAISK (miskrada),80713.0
 ,ROVENKY (miskrada),91558.0
 ,SVERDLOVSK (miskrada),110107.0
 ,SIEVERODONETSK (miskrada),130047.0
 ,STAKHANOV (miskrada),108417.0
 ,m. ALCHEVSK,118611.0
 ,m. RUBIZHNE,65564.0
 ,ANTRATSYTIVSKYI RAION,37451.0
 ,BILOVODSKYI RAION,27584.0
 ,BILOKURAKYNSKYI RAION,23918.0
 ,KRASNODONSKYI RAION,32848.0
 ,KREMINSKYI RAION,51691.0
 ,LUTUHYNSKYI RAION,74106.0
