ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,HASC_2,CCN_2,CCA_2,TYPE_2,ENGTYPE_2,NL_NAME_2,VARNAME_2,Name,Ukrainian,Russian,prev_name,Whole population
240,UKR,Ukraine,3,Chernivtsi,50,hlybotskyi,UA.CV.HL,0,,Raion,District,,,hlybotskyi,52.56,1.15,HLYBOTSKYI RAION,72676.0
240,UKR,Ukraine,3,Chernivtsi,51,kelmenetskyi,UA.CV.KE,0,,Raion,District,,Kelmenetskyi,kelmenetskyi,97.75,1.32,KELMENETSKYI RAION,48468.0
240,UKR,Ukraine,3,Chernivtsi,52,khotynskyi,UA.CV.KH,0,,Raion,District,,Khotynskyi,khotynskyi,91.57,1.27,KHOTYNSKYI RAION,72398.0
240,UKR,Ukraine,3,Chernivtsi,53,kitsmanskyi,UA.CV.KI,0,,Raion,District,,Kitsmanskyi,kitsmanskyi,98.83,0.9,KITSMANSKYI RAION,72884.0
240,UKR,Ukraine,3,Chernivtsi,54,novoselitskyi,UA.CV.NS,0,,Raion,District,,Novoselytskyi,novoselitskyi,34.08,1.78,NOVOSELYTSKYI RAION,87461.0
240,UKR,Ukraine,3,Chernivtsi,55,putylskyi,UA.CV.PU,0,,Raion,District,,Putylskyi,putylskyi,99.47,0.37,PUTYLSKYI RAION,25352.0
240,UKR,Ukraine,3,Chernivtsi,56,sokyrianskyi,UA.CV.SO,0,,Raion,District,,Sokyryanskyi,sokyrianskyi,90.42,6.4,SOKYRIANSKYI RAION,48889.0
240,UKR,Ukraine,3,Chernivtsi,57,storozhynetskyi,UA.CV.ST,0,,Raion,District,,Storozhynetskyi,storozhynetskyi,61.42,1.81,STOROZHYNETSKYI RAION,95295.0
240,UKR,Ukraine,3,Chernivtsi,58,vyzhnytskyi,UA.CV.VY,0,,Raion,District,,Vyzhnytskyi,vyzhnytskyi,98.52,1.03,VYZHNYTSKYI RAION,59993.0
240,UKR,Ukraine,3,Chernivtsi,59,zastavnetskyi,UA.CV.ZA,0,,Raion,District,,Zastavnenskyi,zastavnetskyi,99.22,0.59,ZASTAVNIVSKYI RAION,56261.0
240,UKR,Ukraine,4,Crimea,60,alushtynska,UA.KR.AL,0,,Mis'ka Rada,Mis'ka Rada,,Alushta,alushtynska,9.67,83.68,ALUSHTA (miskrada),52215.0
240,UKR,Ukraine,4,Crimea,61,bakhchysaraiskyi,UA.KR.BA,0,,Raion,District,,Baghchasaray,bakhchysaraiskyi,8.21,69.3,BAKHCHYSARAISKYI RAION,92542.0
240,UKR,Ukraine,4,Crimea,62,bilohirskyi,UA.KR.BI,0,,Raion,Raion,,Belogorskiy,bilohirskyi,7.92,60.43,BILOHIRSKYI RAION,66458.0
240,UKR,Ukraine,4,Crimea,62,bilohirskyi,UA.KR.BI,0,,Raion,Raion,,Belogorskiy,bilohirskyi,7.92,60.43,BILOHIRSKYI RAION,31707.0
240,UKR,Ukraine,4,Crimea,62,bilohirskyi,UA.KR.BI,0,,Raion,Raion,,Belogorskiy,bilohirskyi,99.01,0.83,BILOHIRSKYI RAION,66458.0
240,UKR,Ukraine,4,Crimea,62,bilohirskyi,UA.KR.BI,0,,Raion,Raion,,Belogorskiy,bilohirskyi,99.01,0.83,BILOHIRSKYI RAION,31707.0
240,UKR,Ukraine,4,Crimea,63,chornomorskyi,UA.KR.CH,0,,Raion,Raion,,Chornomorskiy,chornomorskyi,14.81,70.94,CHORNOMORSKYI RAION,34112.0
240,UKR,Ukraine,4,Crimea,64,dzhankoiska,UA.KR.DM,0,,Misto,City,,Dzhankoy,dzhankoiska,7.6,83.14,m. DZHANKOI,42861.0
240,UKR,Ukraine,4,Crimea,65,dzhankoiskyi,UA.KR.DR,0,,Raion,Raion,,,dzhankoiskyi,15.84,62.04,DZHANKOISKYI RAION,82328.0
240,UKR,Ukraine,4,Crimea,66,feodosiiska,UA.KR.FE,0,,Misto,City,,Feodosiya,feodosiiska,7.35,87.32,FEODOSIIA (miskrada),108788.0
240,UKR,Ukraine,4,Crimea,67,ialtynska,UA.KR.IA,0,,Misto,City,,Yalta,ialtynska,10.12,86.79,YALTA (miskrada),139584.0
240,UKR,Ukraine,4,Crimea,68,ievpatoriiska,UA.KR.IE,0,,Misto,City,,,ievpatoriiska,8.73,83.69,YEVPATORIIA (miskrada),117565.0
240,UKR,Ukraine,4,Crimea,69,kerchenska,UA.KR.KE,0,,Misto,City,,Kerch,kerchenska,5.27,91.34,m. KERCH,158165.0
240,UKR,Ukraine,4,Crimea,70,kirovskyi,UA.KR.KI,0,,Raion,Raion,,Kirovskiy,kirovskyi,8.38,64.18,KIROVSKYI RAION,58016.0
240,UKR,Ukraine,4,Crimea,71,krasnohvardiiskyi,UA.KR.KH,0,,Raion,Raion,,Krasnohvardiyske,krasnohvardiiskyi,11.94,69.42,KRASNOHVARDIISKYI RAION,93782.0
240,UKR,Ukraine,4,Crimea,72,krasnoperekopskyi,UA.KR.KR,0,,Raion,District,,Krasnoperekopsk,krasnoperekopskyi,26.78,53.26,KRASNOPEREKOPSKYI RAION,31843.0
240,UKR,Ukraine,4,Crimea,73,leninskyi,UA.KR.LE,0,,Raion,Raion,,Leninskiy,leninskyi,10.57,70.39,LENINSKYI RAION,69629.0
240,UKR,Ukraine,4,Crimea,73,leninskyi,UA.KR.LE,0,,Raion,Raion,,Leninskiy,leninskyi,5.95,91.52,"LENINSKYI raion, m. SEVASTOPOL",9429.0
240,UKR,Ukraine,4,Crimea,74,nyzhnohirskyi,UA.KR.NY,0,,Raion,Raion,,Nizhnegorskiy,nyzhnohirskyi,10.47,72.72,NYZHNOHIRSKYI RAION,56976.0
240,UKR,Ukraine,4,Crimea,75,pervomaiskyi,UA.KR.PE,0,,Raion,Raion,,Pervomaiskiy,pervomaiskyi,19.27,58.44,PERVOMAISKYI RAION,40367.0
240,UKR,Ukraine,4,Crimea,75,pervomaiskyi,UA.KR.PE,0,,Raion,Raion,,Pervomaiskiy,pervomaiskyi,19.27,58.44,PERVOMAISKYI RAION,37203.0
240,UKR,Ukraine,4,Crimea,75,pervomaiskyi,UA.KR.PE,0,,Raion,Raion,,Pervomaiskiy,pervomaiskyi,19.27,58.44,PERVOMAISKYI RAION,19999.0
240,UKR,Ukraine,4,Crimea,75,pervomaiskyi,UA.KR.PE,0,,Raion,Raion,,Pervomaiskiy,pervomaiskyi,93.22,4.76,PERVOMAISKYI RAION,40367.0
240,UKR,Ukraine,4,Crimea,75,pervomaiskyi,UA.KR.PE,0,,Raion,Raion,,Pervomaiskiy,pervomaiskyi,93.22,4.76,PERVOMAISKYI RAION,37203.0
240,UKR,Ukraine,4,Crimea,75,pervomaiskyi,UA.KR.PE,0,,Raion,Raion,,Pervomaiskiy,pervomaiskyi,93.22,4.76,PERVOMAISKYI RAION,19999.0
240,UKR,Ukraine,4,Crimea,75,pervomaiskyi,UA.KR.PE,0,,Raion,Raion,,Pervomaiskiy,pervomaiskyi,42.83,52.65,PERVOMAISKYI (miskrada),33319.0
240,UKR,Ukraine,4,Crimea,75,pervomaiskyi,UA.KR.PE,0,,Raion,Raion,,Pervomaiskiy,pervomaiskyi,58.16,41.17,PERVOMAISKYI RAION,40367.0
240,UKR,Ukraine,4,Crimea,75,pervomaiskyi,UA.KR.PE,0,,Raion,Raion,,Pervomaiskiy,pervomaiskyi,58.16,41.17,PERVOMAISKYI RAION,37203.0
240,UKR,Ukraine,4,Crimea,75,pervomaiskyi,UA.KR.PE,0,,Raion,Raion,,Pervomaiskiy,pervomaiskyi,58.16,41.17,PERVOMAISKYI RAION,19999.0
