Name,Ukrainian,Russian,Notes,prev_name,Whole population
KACHA,5.14,94.04,, smt KACHA,
VYSHNEVE,6.58,74.84,, s. VYSHNEVE,
ORLIVKA,15.15,76.09,, s. ORLIVKA,
OSYPENKO,12.35,83.88,, s. OSYPENKO,
POLIUSHKO,13.35,53.42,, s. POLIUSHKO,
ORLYNIVSKA,12.42,74.71,,ORLYNIVSKA silrada,
ORLYNE,7.74,75.35,, s. ORLYNE,
HONCHARNE,26.09,62.42,, s. HONCHARNE,
KYZYLOVE,15.15,84.85,, s. KYZYLOVE,
KOLKHOZNE,0.0,88.89,, s. KOLKHOZNE,
NOVOBOBRIVSKE,12.50,65.54,, s. NOVOBOBRIVSKE,
OZERNE,1.66,98.34,, s. OZERNE,
PAVLIVKA,17.56,77.52,, s. PAVLIVKA,
PEREDOVE,17.22,69.61,, s. PEREDOVE,
PIDHIRNE,1.61,82.26,, s. PIDHIRNE,
REZERVNE,19.40,78.36,, s. REZERVNE,
RODNYKIVSKE,6.41,79.03,, s. RODNYKIVSKE,
ROZSOSHANKA,1.64,95.9,, s. ROZSOSHANKA,
TYLOVE,9.97,81.44,, s. TYLOVE,
SHYROKE,16.51,69.5,, s. SHYROKE,
TERNIVSKA,13.94,68.91,,TERNIVSKA silrada,
TERNIVKA,13.39,73.62,, s. TERNIVKA,
RIDNE,15.37,56.64,, s. RIDNE,
ANDRIIVSKA,13.53,85.14,,ANDRIIVSKA silrada,
ANDRIIVKA,5.52,93.89,, s. ANDRIIVKA,
SONIACHNYI,21.20,76.77,, s-shche SONIACHNYI,
VERKHNOSADIVSKA,10.52,81.43,,VERKHNOSADIVSKA silrada,
VERKHNOSADOVE,9.48,83.54,, s. VERKHNOSADOVE,
DALNIE,15.67,83.37,, s. DALNIE,
KAMYSHLY,16.67,50.0,, s. KAMYSHLY,
PYROHOVKA,6.34,89.43,, s. PYROHOVKA,
POVOROTNE,14.22,71.55,, s. POVOROTNE,
FRONTOVE,11.95,70.68,, s. FRONTOVE,
FRUKTOVE,8.08,91.73,, s. FRUKTOVE,
krasnolymanska,47.34,51.45,Mykolaivka,,
n.a. ( 394),52.4,46.6,Chasiv Yar,,
n.a. ( 384),54.84,44.8,Novodonetske,,
n.a. ( 319),65.49,33.96,Sviatohirsk,,
n.a. ( 182),56.2,40.1,Hirske urban hromada,,
n.a. ( 181),13.46,86.08,Olkhovatka,,
n.a. ( 511),52.4,44.1,Khartsyzk,,
n.a. ( 493),19.08,80.25,Rozsypne,,
n.a. ( 488),48.3,47.4,zhdanivka,,
n.a. ( 180),,,Part of kharkiv raion,,
