Name,Ukrainian,Russian,Notes,prev_name,Whole population
berdianska,24.18,75.05,,BERDIANSK (miskrada),125026.0
melitopolska,20.42,78.14,,m. MELITOPOL,160352.0
tokmatska,70.25,29.35,,m. TOKMAK,36760.0
enerhodarska,37.81,61.69,,m. ENERHODAR,56180.0
iakymivskyi,42.52,55.11,,YAKYMIVSKYI RAION,38071.0
BERDIANSKYI,68.52,27.75,,BERDIANSKYI RAION,31697.0
VASYLIVSKYI,70.78,28.41,,VASYLIVSKYI RAION,74864.0
VELYKOBILOZERSKYI,93.72,5.81,,VELYKOBILOZERSKYI RAION,9363.0
VESELIVSKYI,70.52,28.15,,VESELIVSKYI RAION,25656.0
VILNIANSKYI,84.72,14.7,,VILNIANSKYI RAION,50689.0
HULIAIPILSKYI,94.13,5.22,,HULIAIPILSKYI RAION,34290.0
ZAPORIZKYI,83.85,15.43,,ZAPORIZKYI RAION,54804.0
KAMIANSKO-DNIPROVSKYI,44.48,54.68,,KAMIANSKO-DNIPROVSKYI RAION,45819.0
KUIBYSHEVSKYI,89.12,10.15,,KUIBYSHEVSKYI RAION,27600.0
MELITOPOLSKYI,39.35,58.24,,MELITOPOLSKYI RAION,56326.0
MYKHAILIVSKYI,67.08,31.82,,MYKHAILIVSKYI RAION,33079.0
novomykola‹vskyi,93.78,5.76,,NOVOMYKOLAIVSKYI RAION,19580.0
ORIKHIVSKYI,91.37,8.17,,ORIKHIVSKYI RAION,54462.0
POLOHIVSKYI,92.87,6.54,,POLOHIVSKYI RAION,48043.0
PRYAZOVSKYI,37.36,53.31,,PRYAZOVSKYI RAION,32931.0
PRYMORSKYI,32.47,55.18,,PRYMORSKYI RAION,35284.0
ROZIVSKYI,82.43,16.95,,ROZIVSKYI RAION,11997.0
TOKMATSKYI,79.93,19.47,,TOKMATSKYI RAION,28486.0
CHERNIHIVSKYI,93.54,5.92,,CHERNIHIVSKYI RAION,22201.0
CHERNIHIVSKYI,93.54,5.92,,CHERNIHIVSKYI RAION,61463.0
ivano-frankivska,92.65,6.38,,IVANO-FRANKIVSK (miskrada),230443.0
BOLEKHIV,99.14,0.67,,BOLEKHIV (miskrada),21232.0
KALUSH,95.33,3.19,,m. KALUSH,67887.0
KOLOMYIA,93.11,5.0,,m. KOLOMYIA,61448.0
iaremchanska,99.17,0.63,,YAREMCHE (miskrada),20821.0
BOHORODCHANSKYI,99.63,0.31,,BOHORODCHANSKYI RAION,70212.0
VERKHOVYNSKYI,99.64,0.32,,VERKHOVYNSKYI RAION,30079.0
HALYTSKYI,99.01,0.86,,HALYTSKYI RAION,65640.0
HORODENKIVSKYI,99.59,0.32,,HORODENKIVSKYI RAION,60881.0
DOLYNSKYI,98.74,0.99,,DOLYNSKYI RAION,71059.0
DOLYNSKYI,98.74,0.99,,DOLYNSKYI RAION,37962.0
KALUSKYI,99.65,0.3,,KALUSKYI RAION,62883.0
KOLOMYISKYI,99.54,0.36,,KOLOMYISKYI RAION,105940.0
KOSIVSKYI,99.47,0.41,,KOSIVSKYI RAION,90167.0
NADVIRNIANSKYI,98.78,0.84,,NADVIRNIANSKYI RAION,113508.0
ROHATYNSKYI,99.68,0.25,,ROHATYNSKYI RAION,51125.0
ROZHNIATIVSKYI,99.61,0.33,,ROZHNIATIVSKYI RAION,75598.0
SNIATYNSKYI,99.47,0.4,,SNIATYNSKYI RAION,68971.0
TLUMATSKYI,99.67,0.26,,TLUMATSKYI RAION,52835.0
TYSMENYTSKYI,99.51,0.37,,TYSMENYTSKYI RAION,85400.0
bilotserkivska,86.61,12.31,,m. BILA TSERKVA,196023.0
BEREZAN,92.12,7.45,,m. BEREZAN,17516.0
BORYSPIL,88.39,11.08,,BORYSPIL (miskrada),53953.0
brovarska,86.44,12.89,,m. BROVARY,86165.0
VASYLKIV,87.29,12.19,,m. VASYLKIV,39340.0
irpinska,87.79,11.63,,IRPIN (miskrada),100390.0
pereiaslav-khmelnytska,95.89,3.61,,m. PEREIASLAV-KHMELNYTSKYI,31621.0
fastivska,90.83,8.61,,m. FASTIV,51552.0
RZHYSHCHIV,95.14,4.27,,m. RZHYSHCHIV,8436.0
SLAVUTYCH,55.42,42.58,,m. SLAVUTYCH,24549.0
PRYPIAT,-,-,,PRYPIAT (miskrada),
BARYSHIVSKYI,96.45,3.02,,BARYSHIVSKYI RAION,41543.0
BILOTSERKIVSKYI,95.65,3.95,,BILOTSERKIVSKYI RAION,55608.0
BOHUSLAVSKYI,97.60,2.22,,BOHUSLAVSKYI RAION,40575.0
boryspilska,95.67,3.82,,BORYSPILSKYI RAION,54670.0
BORODIANSKYI,94.67,4.78,,BORODIANSKYI RAION,57481.0
BROVARSKYI,96.87,2.80,,BROVARSKYI RAION,77704.0
VASYLKIVSKYI,95.35,4.15,,VASYLKIVSKYI RAION,70467.0
VOLODARSKYI,97.84,1.90,,VOLODARSKYI RAION,31168.0
VOLODARSKYI,97.84,1.90,,VOLODARSKYI RAION,23345.0
VYSHHORODSKYI,90.28,9.25,,VYSHHORODSKYI RAION,72589.0
zgurivskyi,97.02,2.30,,ZGHURIVSKYI RAION,22916.0
IVANKIVSKYI,96.47,3.12,,IVANKIVSKYI RAION,35374.0
KAHARLYTSKYI,96.97,2.65,,KAHARLYTSKYI RAION,38246.0
KYIEVO-SVIATOSHYNSKYI,91.40,8.06,,KYIEVO-SVIATOSHYNSKYI RAION,154354.0
MAKARIVSKYI,95.69,3.83,,MAKARIVSKYI RAION,48438.0
MYRONIVSKYI,96.68,2.95,,MYRONIVSKYI RAION,40803.0
OBUKHIVSKYI,87.29,12.19,,OBUKHIVSKYI RAION,71510.0
PEREIASLAV-KHMELNYTSKYI,97.14,2.56,,PEREIASLAV-KHMELNYTSKYI RAION,36527.0
POLISKYI,97.23,2.18,,POLISKYI RAION,7572.0
ROKYTNIANSKYI,97.98,1.80,,ROKYTNIANSKYI RAION,36354.0
SKVYRSKYI,97.39,1.93,,SKVYRSKYI RAION,44320.0
STAVYSHCHENSKYI,98.31,1.39,,STAVYSHCHENSKYI RAION,28491.0
TARASHCHANSKYI,97.94,1.68,,TARASHCHANSKYI RAION,36423.0
tetiïvskyi,98.24,1.52,,TETIIVSKYI RAION,37866.0
FASTIVSKYI,96.15,3.28,,FASTIVSKYI RAION,37545.0
iahotynskyi,96.08,3.46,,YAHOTYNSKYI RAION,40795.0
KIROVOHRAD,79.72,19.64,,KIROVOHRAD (miskrada),258543.0
OLEKSANDRIIA,87.0,12.47,,OLEKSANDRIIA (miskrada),103856.0
ZNAMIANKA,79.1,19.85,,ZNAMIANKA (miskrada),35329.0
SVITLOVODSK,79.49,20.03,,SVITLOVODSK (miskrada),57459.0
OLEKSANDRIISKYI,95.03,3.79,,OLEKSANDRIISKYI RAION,41108.0
OLEKSANDRIVSKYI,96.83,2.32,,OLEKSANDRIVSKYI RAION,23036.0
OLEKSANDRIVSKYI,96.83,2.32,,OLEKSANDRIVSKYI RAION,36009.0
BOBRYNETSKYI,96.16,2.27,,BOBRYNETSKYI RAION,31531.0
HAIVORONSKYI,96.54,2.9,,HAIVORONSKYI RAION,43454.0
HOLOVANIVSKYI,95.64,3.71,,HOLOVANIVSKYI RAION,36645.0
DOBROVELYCHKIVSKYI,95.26,3.16,,DOBROVELYCHKIVSKYI RAION,42958.0
DOLYNSKYI,94.42,4.56,,DOLYNSKYI RAION,71059.0
DOLYNSKYI,94.42,4.56,,DOLYNSKYI RAION,37962.0
ZNAMIANSKYI,93.32,5.1,,ZNAMIANSKYI RAION,30232.0
KIROVOHRADSKYI,87.85,10.42,,KIROVOHRADSKYI RAION,37600.0
kompani‹vskyi,95.45,2.53,,KOMPANIIVSKYI RAION,18162.0
MALOVYSKIVSKYI,89.34,9.56,,MALOVYSKIVSKYI RAION,51164.0
NOVHORODKIVSKYI,97.05,2.07,,NOVHORODKIVSKYI RAION,18947.0
NOVOARKHANHELSKYI,96.95,1.87,,NOVOARKHANHELSKYI RAION,31327.0
NOVOMYRHORODSKYI,95.15,2.48,,NOVOMYRHORODSKYI RAION,35835.0
novoukra‹nskyi,95.32,2.67,,NOVOUKRAINSKYI RAION,48486.0
VILSHANSKYI,92.7,2.54,,VILSHANSKYI RAION,16360.0
onufri‹vskyi,86.27,12.88,,ONUFRIIVSKYI RAION,21757.0
PETRIVSKYI,93.58,5.28,,PETRIVSKYI RAION,28954.0
SVITLOVODSKYI,85.92,12.93,,SVITLOVODSKYI RAION,16618.0
ULIANOVSKYI,97.06,1.72,,ULIANOVSKYI RAION,28718.0
USTYNIVSKYI,95.61,2.32,,USTYNIVSKYI RAION,16690.0
luhanska,14.33,84.73,,LUHANSK (miskrada),499252.0
antratsitivska,13.93,83.7,,ANTRATSYT (miskrada),90416.0
briankivska,14.0,85.68,,BRIANKA (miskrada),61449.0
kirovska,20.25,79.3,,KIROVSK (miskrada),44948.0
ALCHEVSKA,15.26,83.58,,m. ALCHEVSK,118611.0
krasnodonska,8.32,91.11,,KRASNODON (miskrada),117730.0
krasnolutska,14.65,83.59,,KRASNYI LUCH (miskrada),145199.0
lysychanska,35.34,62.86,,LYSYCHANSK (miskrada),133140.0
pervomaiska,37.94,57.07,,PERVOMAISK (miskrada),80713.0
rovenkivska,21.24,78.3,,ROVENKY (miskrada),91558.0
rubezhanska,38.95,60.05,,m. RUBIZHNE,65564.0
sverdlovska,14.22,83.53,,SVERDLOVSK (miskrada),110107.0
sieverodonetska,28.31,70.78,,SIEVERODONETSK (miskrada),130047.0
stakhanivska,14.38,83.8,,STAKHANOV (miskrada),108417.0
ANTRATSYTIVSKYI,46.51,53.1,,ANTRATSYTIVSKYI RAION,37451.0
BILOVODSKYI,84.2,15.56,,BILOVODSKYI RAION,27584.0
BILOKURAKYNSKYI,91.39,8.37,,BILOKURAKYNSKYI RAION,23918.0
KRASNODONSKYI,27.26,72.32,,KRASNODONSKYI RAION,32848.0
KREMINSKYI,78.73,20.82,,KREMINSKYI RAION,51691.0
LUTUHYNSKYI,49.33,49.82,,LUTUHYNSKYI RAION,74106.0
markivskyi,93.78,5.8,,MARKIVSKYI RAION,18987.0
MILOVSKYI,73.84,24.12,,MILOVSKYI RAION,17411.0
NOVOAIDARSKYI,45.99,53.61,,NOVOAIDARSKYI RAION,28574.0
NOVOPSKOVSKYI,92.2,7.52,,NOVOPSKOVSKYI RAION,38299.0
PEREVALSKYI,23.15,76.39,,PEREVALSKYI RAION,86631.0
POPASNIANSKYI,64.08,35.6,,POPASNIANSKYI RAION,50533.0
SVATIVSKYI,91.84,7.55,,SVATIVSKYI RAION,42587.0
SVERDLOVSKYI,56.01,41.29,,SVERDLOVSKYI RAION,14227.0
SLOVIANOSERBSKYI,38.94,60.4,,SLOVIANOSERBSKYI RAION,61834.0
STANYCHNO-LUHANSKYI,14.17,85.06,,STANYCHNO-LUHANSKYI RAION,53038.0
STAROBILSKYI,79.17,20.48,,STAROBILSKYI RAION,57620.0
tro‹tskyi,62.76,36.89,,TROITSKYI RAION,25701.0
lvivska,88.75,9.72,,LVIV (miskrada),749768.0
BORYSLAV,97.55,1.94,,BORYSLAV (miskrada),40699.0
drohobytska,94.94,3.77,,DROHOBYCH (miskrada),97683.0
sambirska,95.16,2.31,,m. SAMBIR,36218.0
stryiska,92.98,5.06,,m. STRYI,62051.0
TRUSKAVETS,94.22,4.99,,m. TRUSKAVETS,22489.0
