"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
65,240,"UKR","Ukraine",4,"Crimea",65,"Dzhankois'kyi","UA.KR.DR",NA,"","Raion","Raion","",""
66,240,"UKR","Ukraine",4,"Crimea",66,"Feodosiis'ka","UA.KR.FE",NA,"","Misto","City","","Feodosiya"
67,240,"UKR","Ukraine",4,"Crimea",67,"Ialtyns'ka","UA.KR.IA",NA,"","Misto","City","","Yalta"
68,240,"UKR","Ukraine",4,"Crimea",68,"Ievpatoriis'ka","UA.KR.IE",NA,"","Misto","City","",""
69,240,"UKR","Ukraine",4,"Crimea",69,"Kerchens'ka","UA.KR.KE",NA,"","Misto","City","","Kerch"
70,240,"UKR","Ukraine",4,"Crimea",70,"Kirovs'kyi","UA.KR.KI",NA,"","Raion","Raion","","Kirovskiy"
71,240,"UKR","Ukraine",4,"Crimea",71,"Krasnohvardiis'kyi","UA.KR.KH",NA,"","Raion","Raion","","Krasnohvardiyske"
72,240,"UKR","Ukraine",4,"Crimea",72,"Krasnoperekops'kyi","UA.KR.KR",NA,"","Raion","District","","Krasnoperekopsk"
73,240,"UKR","Ukraine",4,"Crimea",73,"Lenins'kyi","UA.KR.LE",NA,"","Raion","Raion","","Leninskiy"
74,240,"UKR","Ukraine",4,"Crimea",74,"Nyzhn'ohirs'kyi","UA.KR.NY",NA,"","Raion","Raion","","Nizhnegorskiy"
75,240,"UKR","Ukraine",4,"Crimea",75,"Pervomais'kyi","UA.KR.PE",NA,"","Raion","Raion","","Pervomaiskiy"
76,240,"UKR","Ukraine",4,"Crimea",76,"Rozdol'nens'kyi","UA.KR.RO",NA,"","Raion","Raion","","Rozdolnenskiy"
77,240,"UKR","Ukraine",4,"Crimea",77,"Saks'ka","UA.KR.SS",NA,"","Misto","City","","Saq-city"
78,240,"UKR","Ukraine",4,"Crimea",78,"Saks'kyi","UA.KR.SK",NA,"","Raion","District","","Saq"
79,240,"UKR","Ukraine",4,"Crimea",79,"Simferopol's'ka","UA.KR.SM",NA,"","Mis'ka Rada","Mis'ka Rada","","Simferopol city"
80,240,"UKR","Ukraine",4,"Crimea",80,"Simferopol's'kyi","UA.KR.SR",NA,"","Raion","District","","Simferopol"
81,240,"UKR","Ukraine",4,"Crimea",81,"Soviets'kyi","UA.KR.SO",NA,"","Raion","Raion","","Sovetskiy"
82,240,"UKR","Ukraine",4,"Crimea",82,"Sudats'ka","UA.KR.SU",NA,"","Misto","City","","Sudak"
83,240,"UKR","Ukraine",5,"Dnipropetrovs'k",83,"Apostolivs'kyi","UA.DP.AP",NA,"","Raion","District","","Apostolovskyi"
84,240,"UKR","Ukraine",5,"Dnipropetrovs'k",84,"Dniprodzerzhyns'ka","UA.DP.DD",NA,"","Mis'ka Rada","Mis'ka Rada","","Dniprodzerzhinsk"
85,240,"UKR","Ukraine",5,"Dnipropetrovs'k",85,"Dnipropetrovs'ka","UA.DP.DM",NA,"","Mis'ka Rada","Mis'ka Rada","","Dnipropetrovsk"
86,240,"UKR","Ukraine",5,"Dnipropetrovs'k",86,"Dnipropetrovs'kyi","UA.DP.DR",NA,"","Raion","District","","Dnipropetrovskyi"
87,240,"UKR","Ukraine",5,"Dnipropetrovs'k",87,"Iurïvs'kyi","UA.DP.IU",NA,"","Raion","District","","Yuriivskyi"
88,240,"UKR","Ukraine",5,"Dnipropetrovs'k",88,"Krynychans'kyi","UA.DP.KC",NA,"","Raion","District","","Krynychanskyi"
89,240,"UKR","Ukraine",5,"Dnipropetrovs'k",89,"Kryvoriz'kyi","UA.DP.KR",NA,"","Raion","District","","Kryvorizkyi"
90,240,"UKR","Ukraine",5,"Dnipropetrovs'k",90,"KryvyiRig","UA.DP.KM",NA,"","Misto","City","",""
91,240,"UKR","Ukraine",5,"Dnipropetrovs'k",91,"Mahdalynivs'kyi","UA.DP.MD",NA,"","Raion","District","","Magdalynivskyi"
92,240,"UKR","Ukraine",5,"Dnipropetrovs'k",92,"Marhanets'ka","UA.DP.MR",NA,"","Mis'ka Rada","Mis'ka Rada","","Marhanets"
93,240,"UKR","Ukraine",5,"Dnipropetrovs'k",93,"Mezhivs'kyi","UA.DP.ME",NA,"","Raion","District","","Mezhovyi"
94,240,"UKR","Ukraine",5,"Dnipropetrovs'k",94,"Nikopol's'ka","UA.DP.NP",NA,"","Misto","City","",""
95,240,"UKR","Ukraine",5,"Dnipropetrovs'k",95,"Nikopol's'kyi","UA.DP.NK",NA,"","Raion","District","","Nikopolskyi"
96,240,"UKR","Ukraine",5,"Dnipropetrovs'k",96,"Novomoskovs'ka","UA.DP.NM",NA,"","Misto","City","","Novomoskovsk"
97,240,"UKR","Ukraine",5,"Dnipropetrovs'k",97,"Novomoskovs'kyi","UA.DP.NV",NA,"","Raion","District","","Novomoskovskyi"
98,240,"UKR","Ukraine",5,"Dnipropetrovs'k",98,"Ordzhonikidzevs'ka","UA.DP.OR",NA,"","Misto","City","","Ordzhonikidze"
99,240,"UKR","Ukraine",5,"Dnipropetrovs'k",99,"Pavlograd","UA.DP.PM",NA,"","Misto","City","",""
100,240,"UKR","Ukraine",5,"Dnipropetrovs'k",100,"Pavlohrads'kyi","UA.DP.PR",NA,"","Raion","District","","Pavlogradskyi"
101,240,"UKR","Ukraine",5,"Dnipropetrovs'k",101,"Petropavlivs'kyi","UA.DP.PP",NA,"","Raion","District","","Petropavlivskyi"
102,240,"UKR","Ukraine",5,"Dnipropetrovs'k",102,"Petrykivs'kyi","UA.DP.PK",NA,"","Raion","District","","Petrykivskyi"
103,240,"UKR","Ukraine",5,"Dnipropetrovs'k",103,"Piatykhats'kyi","UA.DP.PI",NA,"","Raion","District","","Pyatyhatskyi"
104,240,"UKR","Ukraine",5,"Dnipropetrovs'k",104,"Pokrovs'kyi","UA.DP.PO",NA,"","Raion","District","","Pokrovskyi"
105,240,"UKR","Ukraine",5,"Dnipropetrovs'k",105,"Shyrokivs'kyi","UA.DP.SH",NA,"","Raion","District","","Shyrochanskyi"
106,240,"UKR","Ukraine",5,"Dnipropetrovs'k",106,"Sofi‹vs'kyi","UA.DP.SF",NA,"","Raion","District","","Sofiivskyi"
107,240,"UKR","Ukraine",5,"Dnipropetrovs'k",107,"Solonians'kyi","UA.DP.SL",NA,"","Raion","District","","Solonyanskyi"
108,240,"UKR","Ukraine",5,"Dnipropetrovs'k",108,"Synel'nykivs'ka","UA.DP.SM",NA,"","Misto","City","",""
109,240,"UKR","Ukraine",5,"Dnipropetrovs'k",109,"Synel'nykivs'kyi","UA.DP.SR",NA,"","Raion","District","","Synelnikivskyi"
110,240,"UKR","Ukraine",5,"Dnipropetrovs'k",110,"Tomakivs'kyi","UA.DP.TO",NA,"","Raion","District","","Tomakivskyi"
111,240,"UKR","Ukraine",5,"Dnipropetrovs'k",111,"Tsarychans'kyi","UA.DP.TS",NA,"","Raion","District","","Tsarychanskyi"
112,240,"UKR","Ukraine",5,"Dnipropetrovs'k",112,"Vasyl'kivs'kyi","UA.DP.VA",NA,"","Raion","District","","Vasylkivskyi"
113,240,"UKR","Ukraine",5,"Dnipropetrovs'k",113,"Verkhn'odniprovs'kyi","UA.DP.VE",NA,"","Raion","District","","Verhnyodniprovsky"
114,240,"UKR","Ukraine",5,"Dnipropetrovs'k",114,"Zhovtovods'ka","UA.DP.ZH",NA,"","Mis'ka Rada","Mis'ka Rada","","ZhovtiVody"
115,240,"UKR","Ukraine",6,"Donets'k",115,"Amvrosi‹vs'kyi","UA.DT.AS",NA,"","Raion","District","","Amvrosiivskyi"
116,240,"UKR","Ukraine",6,"Donets'k",116,"Artemivs'ka","UA.DT.AM",NA,"","Mis'ka Rada","Mis'ka Rada","",""
117,240,"UKR","Ukraine",6,"Donets'k",117,"Artemivs'kyi","UA.DT.AR",NA,"","Raion","District","","Artemivskyi"
118,240,"UKR","Ukraine",6,"Donets'k",118,"Dobropil's'ka","UA.DT.DM",NA,"","Mis'ka Rada","Mis'ka Rada","","Dobropillia"
119,240,"UKR","Ukraine",6,"Donets'k",119,"Dobropil's'kyi","UA.DT.DR",NA,"","Raion","District","","Dobropolskyi"
120,240,"UKR","Ukraine",6,"Donets'k",120,"Donets'ka","UA.DT.DN",NA,"","Mis'ka Rada","Mis'ka Rada","","Donetsk"
121,240,"UKR","Ukraine",6,"Donets'k",121,"Dzerzhyns'ka","UA.DT.DZ",NA,"","Mis'ka Rada","Mis'ka Rada","","Dzerzhinsk-Don"
122,240,"UKR","Ukraine",6,"Donets'k",122,"Horlivs'ka","UA.DT.HO",NA,"","Mis'ka Rada","Mis'ka Rada","","Gorlivka"
123,240,"UKR","Ukraine",6,"Donets'k",123,"Iasynuvats'ka","UA.DT.IM",NA,"","Misto","City","",""
124,240,"UKR","Ukraine",6,"Donets'k",124,"Iasynuvats'kyi","UA.DT.IR",NA,"","Raion","District","","Yasynuvatskyi"
125,240,"UKR","Ukraine",6,"Donets'k",125,"Ienakiievs'ka","UA.DT.IE",NA,"","Mis'ka Rada","Mis'ka Rada","","Yenakiyeve"
126,240,"UKR","Ukraine",6,"Donets'k",126,"Khartsyz'ka","UA.DT.KH",NA,"","Mis'ka Rada","Mis'ka Rada","","Khartsyzk"
127,240,"UKR","Ukraine",6,"Donets'k",127,"Kirovs'ka","UA.DT.KI",NA,"","Misto","City","","Kirovske"
128,240,"UKR","Ukraine",6,"Donets'k",128,"Kostiantynivs'ka","UA.DT.KT",NA,"","Misto","City","","Kostyantynivka"
129,240,"UKR","Ukraine",6,"Donets'k",129,"Kostiantynivs'kyi","UA.DT.KS",NA,"","Raion","District","","Kostyantynivskyi"
130,240,"UKR","Ukraine",6,"Donets'k",130,"Kramators'ka","UA.DT.KM",NA,"","Mis'ka Rada","Mis'ka Rada","","Kramatorsk"
131,240,"UKR","Ukraine",6,"Donets'k",131,"Krasnoarmiis'ka","UA.DT.KA",NA,"","Mis'ka Rada","Mis'ka Rada","",""
132,240,"UKR","Ukraine",6,"Donets'k",132,"Krasnoarmiis'kyi","UA.DT.KR",NA,"","Raion","District","","Krasnoarmeyskyi-D"
133,240,"UKR","Ukraine",6,"Donets'k",133,"Krasnolymans'ka","UA.DT.KY",NA,"","Mis'ka Rada","Mis'ka Rada","",""
134,240,"UKR","Ukraine",6,"Donets'k",134,"Krasnolymans'kyi","UA.DT.KL",NA,"","Raion","District","","Krasnolymanskyi"
135,240,"UKR","Ukraine",6,"Donets'k",135,"Maki‹vs'ka","UA.DT.MK",NA,"","Mis'ka Rada","Mis'ka Rada","","Makiivka"
136,240,"UKR","Ukraine",6,"Donets'k",136,"Mar‹ns'kyi","UA.DT.MN",NA,"","Raion","District","","Mariinskyi"
137,240,"UKR","Ukraine",6,"Donets'k",137,"Mariupol's'ka","UA.DT.MP",NA,"","Mis'ka Rada","Mis'ka Rada","","Mariupol"
138,240,"UKR","Ukraine",6,"Donets'k",138,"n.a. ( 181)","",NA,"","","","",""
139,240,"UKR","Ukraine",6,"Donets'k",139,"n.a. ( 319)","",NA,"","","","",""
140,240,"UKR","Ukraine",6,"Donets'k",140,"n.a. ( 384)","",NA,"","","","",""
141,240,"UKR","Ukraine",6,"Donets'k",141,"n.a. ( 394)","",NA,"","","","",""
142,240,"UKR","Ukraine",6,"Donets'k",142,"n.a. ( 488)","",NA,"","","","",""
143,240,"UKR","Ukraine",6,"Donets'k",143,"n.a. ( 493)","",NA,"","","","",""
144,240,"UKR","Ukraine",6,"Donets'k",144,"n.a. ( 511)","",NA,"","","","",""
145,240,"UKR","Ukraine",6,"Donets'k",145,"Novoazovs'kyi","UA.DT.NA",NA,"","Raion","District","","Novoazovskyi"
146,240,"UKR","Ukraine",6,"Donets'k",146,"Novohrodivs'ka","UA.DT.NH",NA,"","Misto","City","","Novohrodivka"
147,240,"UKR","Ukraine",6,"Donets'k",147,"Oleksandrivs'kyi","UA.DT.OL",NA,"","Raion","District","","Oleksandrivskyi"
148,240,"UKR","Ukraine",6,"Donets'k",148,"Pershotravnevyi","UA.DT.PE",NA,"","Raion","District","",""
149,240,"UKR","Ukraine",6,"Donets'k",149,"Selydovs'ka","UA.DT.SE",NA,"","Mis'ka Rada","Mis'ka Rada","","Selydove"
150,240,"UKR","Ukraine",6,"Donets'k",150,"Shakhtars'ka","UA.DT.SK",NA,"","Mis'ka Rada","Mis'ka Rada","","Shahtarsk-Don"
151,240,"UKR","Ukraine",6,"Donets'k",151,"Shakhtars'kyi","UA.DT.SH",NA,"","Raion","District","","Shahtarskyi-Don"
152,240,"UKR","Ukraine",6,"Donets'k",152,"Slovians'ka","UA.DT.SV",NA,"","Mis'ka Rada","Mis'ka Rada","","Sloviansk"
153,240,"UKR","Ukraine",6,"Donets'k",153,"Slovians'kyi","UA.DT.SL",NA,"","Raion","District","","Slovyanskyi-Don"
154,240,"UKR","Ukraine",6,"Donets'k",154,"Snizhnens'ka","UA.DT.SN",NA,"","Mis'ka Rada","Mis'ka Rada","","Snezhnoye"
155,240,"UKR","Ukraine",6,"Donets'k",155,"Starobeshivs'kyi","UA.DT.ST",NA,"","Raion","District","","Starobeshevskyi"
156,240,"UKR","Ukraine",6,"Donets'k",156,"Tel'manivs'kyi","UA.DT.TE",NA,"","Raion","District","","Telmanivskyi-Don"
157,240,"UKR","Ukraine",6,"Donets'k",157,"Torez'ka","UA.DT.TO",NA,"","Mis'ka Rada","Mis'ka Rada","","Torez-Don"
158,240,"UKR","Ukraine",6,"Donets'k",158,"Velykonovosilkivs'kyi","UA.DT.VE",NA,"","Raion","District","","Velykonovoselivsk"
159,240,"UKR","Ukraine",6,"Donets'k",159,"Volnovas'kyi","UA.DT.VV",NA,"","Raion","District","","Volnovaskyi"
160,240,"UKR","Ukraine",6,"Donets'k",160,"Volodars'kyi","UA.DT.VD",NA,"","Raion","District","","Volodarskyi"
161,240,"UKR","Ukraine",6,"Donets'k",161,"Vuhledars'ka","UA.DT.VU",NA,"","Misto","City","","Vuhledar"
